Date,Month,District,LATITUDE,LONGITUDE,Water_Table_m
01-Feb-16,Feb,Bagerhat,22.66,89.788,2.13
08-Feb-16,Feb,Bagerhat,22.66,89.788,2.12
15-Feb-16,Feb,Bagerhat,22.66,89.788,2.15
22-Feb-16,Feb,Bagerhat,22.66,89.788,2.1
29-Feb-16,Feb,Bagerhat,22.66,89.788,1.8
07-Mar-16,Mar,Bagerhat,22.66,89.788,1.9
14-Mar-16,Mar,Bagerhat,22.66,89.788,1.95
21-Mar-16,Mar,Bagerhat,22.66,89.788,1.93
28-Mar-16,Mar,Bagerhat,22.66,89.788,1.92
04-Apr-16,Apr,Bagerhat,22.66,89.788,2
11-Apr-16,Apr,Bagerhat,22.66,89.788,2.08
18-Apr-16,Apr,Bagerhat,22.66,89.788,2.15
25-Apr-16,Apr,Bagerhat,22.66,89.788,2.23
02-May-16,May,Bagerhat,22.66,89.788,2.3
09-May-16,May,Bagerhat,22.66,89.788,2.4
16-May-16,May,Bagerhat,22.66,89.788,2.08
23-May-16,May,Bagerhat,22.66,89.788,2.05
30-May-16,May,Bagerhat,22.66,89.788,2.06
06-Jun-16,Jun,Bagerhat,22.66,89.788,1.07
13-Jun-16,Jun,Bagerhat,22.66,89.788,1.09
20-Jun-16,Jun,Bagerhat,22.66,89.788,1.2
27-Jun-16,Jun,Bagerhat,22.66,89.788,1.14
04-Jul-16,Jul,Bagerhat,22.66,89.788,1.64
11-Jul-16,Jul,Bagerhat,22.66,89.788,1.5
18-Jul-16,Jul,Bagerhat,22.66,89.788,1.2
25-Jul-16,Jul,Bagerhat,22.66,89.788,1.15
02-Jan-17,Jan,Bagerhat,22.66,89.788,2.9
09-Jan-17,Jan,Bagerhat,22.66,89.788,1.9
16-Jan-17,Jan,Bagerhat,22.66,89.788,1.92
23-Jan-17,Jan,Bagerhat,22.66,89.788,1.94
30-Jan-17,Jan,Bagerhat,22.66,89.788,1.96
06-Feb-17,Feb,Bagerhat,22.66,89.788,1.95
13-Feb-17,Feb,Bagerhat,22.66,89.788,2.2
20-Feb-17,Feb,Bagerhat,22.66,89.788,2.25
27-Feb-17,Feb,Bagerhat,22.66,89.788,2.4
06-Mar-17,Mar,Bagerhat,22.66,89.788,2.2
13-Mar-17,Mar,Bagerhat,22.66,89.788,1.95
20-Mar-17,Mar,Bagerhat,22.66,89.788,1.9
27-Mar-17,Mar,Bagerhat,22.66,89.788,1.85
03-Apr-17,Apr,Bagerhat,22.66,89.788,1.9
10-Apr-17,Apr,Bagerhat,22.66,89.788,1.83
17-Apr-17,Apr,Bagerhat,22.66,89.788,2.1
24-Apr-17,Apr,Bagerhat,22.66,89.788,1.65
01-May-17,May,Bagerhat,22.66,89.788,1.6
08-May-17,May,Bagerhat,22.66,89.788,1.65
15-May-17,May,Bagerhat,22.66,89.788,1.7
22-May-17,May,Bagerhat,22.66,89.788,1.8
29-May-17,May,Bagerhat,22.66,89.788,1.95
05-Jun-17,Jun,Bagerhat,22.66,89.788,1.4
12-Jun-17,Jun,Bagerhat,22.66,89.788,1.2
19-Jun-17,Jun,Bagerhat,22.66,89.788,0.9
26-Jun-17,Jun,Bagerhat,22.66,89.788,0.8
03-Jul-17,Jul,Bagerhat,22.66,89.788,2.96
10-Jul-17,Jul,Bagerhat,22.66,89.788,2.16
17-Jul-17,Jul,Bagerhat,22.66,89.788,2.1
24-Jul-17,Jul,Bagerhat,22.66,89.788,2.05
31-Jul-17,Jul,Bagerhat,22.66,89.788,1.95
02-Oct-17,Oct,Bagerhat,22.66,89.788,2.08
09-Oct-17,Oct,Bagerhat,22.66,89.788,2.11
16-Oct-17,Oct,Bagerhat,22.66,89.788,2.15
23-Oct-17,Oct,Bagerhat,22.66,89.788,2.17
30-Oct-17,Oct,Bagerhat,22.66,89.788,2.2
01-Jan-18,Jan,Bagerhat,22.66,89.788,1.3
08-Jan-18,Jan,Bagerhat,22.66,89.788,1.02
15-Jan-18,Jan,Bagerhat,22.66,89.788,1.05
22-Jan-18,Jan,Bagerhat,22.66,89.788,1.08
29-Jan-18,Jan,Bagerhat,22.66,89.788,1.1
05-Feb-18,Feb,Bagerhat,22.66,89.788,1.12
12-Feb-18,Feb,Bagerhat,22.66,89.788,1.15
19-Feb-18,Feb,Bagerhat,22.66,89.788,1.18
26-Feb-18,Feb,Bagerhat,22.66,89.788,1.22
07-Jan-19,Jan,Bagerhat,22.66,89.788,3.95
14-Jan-19,Jan,Bagerhat,22.66,89.788,4.08
21-Jan-19,Jan,Bagerhat,22.66,89.788,4.12
28-Jan-19,Jan,Bagerhat,22.66,89.788,4.18
04-Feb-19,Feb,Bagerhat,22.66,89.788,4.25
11-Feb-19,Feb,Bagerhat,22.66,89.788,4.28
18-Feb-19,Feb,Bagerhat,22.66,89.788,4.35
25-Feb-19,Feb,Bagerhat,22.66,89.788,4.38
04-Mar-19,Mar,Bagerhat,22.66,89.788,4.4
11-Mar-19,Mar,Bagerhat,22.66,89.788,4.44
18-Mar-19,Mar,Bagerhat,22.66,89.788,4.49
25-Mar-19,Mar,Bagerhat,22.66,89.788,4.54
06-May-19,May,Bagerhat,22.66,89.788,4.65
13-May-19,May,Bagerhat,22.66,89.788,4.68
20-May-19,May,Bagerhat,22.66,89.788,4.69
27-May-19,May,Bagerhat,22.66,89.788,4.72
01-Jul-19,Jul,Bagerhat,22.66,89.788,1.38
08-Jul-19,Jul,Bagerhat,22.66,89.788,1.38
15-Jul-19,Jul,Bagerhat,22.66,89.788,1.34
22-Jul-19,Jul,Bagerhat,22.66,89.788,1.3
29-Jul-19,Jul,Bagerhat,22.66,89.788,1.3
07-Oct-19,Oct,Bagerhat,22.66,89.788,1.06
14-Oct-19,Oct,Bagerhat,22.66,89.788,1.24
21-Oct-19,Oct,Bagerhat,22.66,89.788,1.3
28-Oct-19,Oct,Bagerhat,22.66,89.788,1.32
04-Nov-19,Nov,Bagerhat,22.66,89.788,1.34
11-Nov-19,Nov,Bagerhat,22.66,89.788,1.45
18-Nov-19,Nov,Bagerhat,22.66,89.788,1.25
25-Nov-19,Nov,Bagerhat,22.66,89.788,1.16
02-Dec-19,Dec,Bagerhat,22.66,89.788,2.1
09-Dec-19,Dec,Bagerhat,22.66,89.788,1.14
16-Dec-19,Dec,Bagerhat,22.66,89.788,1.18
23-Dec-19,Dec,Bagerhat,22.66,89.788,1.5
30-Dec-19,Dec,Bagerhat,22.66,89.788,1.55
06-Jan-20,Jan,Bagerhat,22.66,89.788,1.45
13-Jan-20,Jan,Bagerhat,22.66,89.788,1.43
20-Jan-20,Jan,Bagerhat,22.66,89.788,1.4
27-Jan-20,Jan,Bagerhat,22.66,89.788,1.65
03-Feb-20,Feb,Bagerhat,22.66,89.788,1.65
10-Feb-20,Feb,Bagerhat,22.66,89.788,1.72
17-Feb-20,Feb,Bagerhat,22.66,89.788,1.76
24-Feb-20,Feb,Bagerhat,22.66,89.788,1.8
02-Mar-20,Mar,Bagerhat,22.66,89.788,1.85
09-Mar-20,Mar,Bagerhat,22.66,89.788,1.9
16-Mar-20,Mar,Bagerhat,22.66,89.788,1.95
23-Mar-20,Mar,Bagerhat,22.66,89.788,1.9
30-Mar-20,Mar,Bagerhat,22.66,89.788,1.95
06-Apr-20,Apr,Bagerhat,22.66,89.788,1.98
13-Apr-20,Apr,Bagerhat,22.66,89.788,2.05
20-Apr-20,Apr,Bagerhat,22.66,89.788,2.2
27-Apr-20,Apr,Bagerhat,22.66,89.788,2.25
04-May-20,May,Bagerhat,22.66,89.788,1.6
11-May-20,May,Bagerhat,22.66,89.788,1.4
18-May-20,May,Bagerhat,22.66,89.788,1.8
25-May-20,May,Bagerhat,22.66,89.788,1.95
01-Jun-20,Jun,Bagerhat,22.66,89.788,1.3
08-Jun-20,Jun,Bagerhat,22.66,89.788,1.2
15-Jun-20,Jun,Bagerhat,22.66,89.788,1.2
22-Jun-20,Jun,Bagerhat,22.66,89.788,1.1
29-Jun-20,Jun,Bagerhat,22.66,89.788,1.1
06-Jul-20,Jul,Bagerhat,22.66,89.788,1.1
13-Jul-20,Jul,Bagerhat,22.66,89.788,1.06
20-Jul-20,Jul,Bagerhat,22.66,89.788,1.02
27-Jul-20,Jul,Bagerhat,22.66,89.788,1.02
03-Aug-20,Aug,Bagerhat,22.66,89.788,1.06
10-Aug-20,Aug,Bagerhat,22.66,89.788,1.09
17-Aug-20,Aug,Bagerhat,22.66,89.788,1.12
07-Sep-20,Sep,Bagerhat,22.66,89.788,1.2
14-Sep-20,Sep,Bagerhat,22.66,89.788,1.24
21-Sep-20,Sep,Bagerhat,22.66,89.788,2.05
28-Sep-20,Sep,Bagerhat,22.66,89.788,2.02
05-Oct-20,Oct,Bagerhat,22.66,89.788,1.1
12-Oct-20,Oct,Bagerhat,22.66,89.788,1.15
19-Oct-20,Oct,Bagerhat,22.66,89.788,1.1
26-Oct-20,Oct,Bagerhat,22.66,89.788,1.05
14-Dec-20,Dec,Bagerhat,22.66,89.788,1.1
21-Dec-20,Dec,Bagerhat,22.66,89.788,1.06
28-Dec-20,Dec,Bagerhat,22.66,89.788,1.8
04-Jan-21,Jan,Bagerhat,22.66,89.788,1.7
11-Jan-21,Jan,Bagerhat,22.66,89.788,1.4
18-Jan-21,Jan,Bagerhat,22.66,89.788,1.35
01-Feb-21,Feb,Bagerhat,22.66,89.788,1.55
08-Feb-21,Feb,Bagerhat,22.66,89.788,1.7
15-Feb-21,Feb,Bagerhat,22.66,89.788,1.85
22-Feb-21,Feb,Bagerhat,22.66,89.788,1.95
01-Mar-21,Mar,Bagerhat,22.66,89.788,2.2
15-Mar-21,Mar,Bagerhat,22.66,89.788,2
22-Mar-21,Mar,Bagerhat,22.66,89.788,2.05
29-Mar-21,Mar,Bagerhat,22.66,89.788,2.15
12-Apr-21,Apr,Bagerhat,22.66,89.788,2.92
19-Apr-21,Apr,Bagerhat,22.66,89.788,2.2
26-Apr-21,Apr,Bagerhat,22.66,89.788,2.25
03-May-21,May,Bagerhat,22.66,89.788,2.32
10-May-21,May,Bagerhat,22.66,89.788,2.35
17-May-21,May,Bagerhat,22.66,89.788,2.4
24-May-21,May,Bagerhat,22.66,89.788,2.46
14-Jun-21,Jun,Bagerhat,22.66,89.788,1.2
21-Jun-21,Jun,Bagerhat,22.66,89.788,1.1
28-Jun-21,Jun,Bagerhat,22.66,89.788,1.07
05-Jul-21,Jul,Bagerhat,22.66,89.788,1.02
12-Jul-21,Jul,Bagerhat,22.66,89.788,1.15
19-Jul-21,Jul,Bagerhat,22.66,89.788,1.1
26-Jul-21,Jul,Bagerhat,22.66,89.788,1
09-Aug-21,Aug,Bagerhat,22.66,89.788,0.9
16-Aug-21,Aug,Bagerhat,22.66,89.788,0.95
23-Aug-21,Aug,Bagerhat,22.66,89.788,0.7
30-Aug-21,Aug,Bagerhat,22.66,89.788,0.8
06-Sep-21,Sep,Bagerhat,22.66,89.788,0.9
13-Sep-21,Sep,Bagerhat,22.66,89.788,0.8
04-Oct-21,Oct,Bagerhat,22.66,89.788,0.7
11-Oct-21,Oct,Bagerhat,22.66,89.788,0.68
18-Oct-21,Oct,Bagerhat,22.66,89.788,0.65
25-Oct-21,Oct,Bagerhat,22.66,89.788,0.5
01-Nov-21,Nov,Bagerhat,22.66,89.788,1
08-Nov-21,Nov,Bagerhat,22.66,89.788,1.05
15-Nov-21,Nov,Bagerhat,22.66,89.788,1.1
22-Nov-21,Nov,Bagerhat,22.66,89.788,1.14
29-Nov-21,Nov,Bagerhat,22.66,89.788,1.19
06-Dec-21,Dec,Bagerhat,22.66,89.788,1.1
13-Dec-21,Dec,Bagerhat,22.66,89.788,1.04
20-Dec-21,Dec,Bagerhat,22.66,89.788,1.14
27-Dec-21,Dec,Bagerhat,22.66,89.788,1.22
03-Jan-22,Jan,Bagerhat,22.66,89.788,1.25
10-Jan-22,Jan,Bagerhat,22.66,89.788,1.32
17-Jan-22,Jan,Bagerhat,22.66,89.788,1.34
24-Jan-22,Jan,Bagerhat,22.66,89.788,1.38
31-Jan-22,Jan,Bagerhat,22.66,89.788,1.25
07-Feb-22,Feb,Bagerhat,22.66,89.788,1.2
14-Feb-22,Feb,Bagerhat,22.66,89.788,1.35
21-Feb-22,Feb,Bagerhat,22.66,89.788,1.45
28-Feb-22,Feb,Bagerhat,22.66,89.788,1.35
07-Mar-22,Mar,Bagerhat,22.66,89.788,1.6
14-Mar-22,Mar,Bagerhat,22.66,89.788,1.55
21-Mar-22,Mar,Bagerhat,22.66,89.788,1.6
28-Mar-22,Mar,Bagerhat,22.66,89.788,1.65
04-Apr-22,Apr,Bagerhat,22.66,89.788,1.7
11-Apr-22,Apr,Bagerhat,22.66,89.788,1.72
18-Apr-22,Apr,Bagerhat,22.66,89.788,1.7
25-Apr-22,Apr,Bagerhat,22.66,89.788,1.85
02-May-22,May,Bagerhat,22.66,89.788,1.9
23-May-22,May,Bagerhat,22.66,89.788,1.55
30-May-22,May,Bagerhat,22.66,89.788,1.45
06-Jun-22,Jun,Bagerhat,22.66,89.788,1.4
13-Jun-22,Jun,Bagerhat,22.66,89.788,1.35
20-Jun-22,Jun,Bagerhat,22.66,89.788,1.2
27-Jun-22,Jun,Bagerhat,22.66,89.788,1.1
04-Jul-22,Jul,Bagerhat,22.66,89.788,1
11-Jul-22,Jul,Bagerhat,22.66,89.788,1.02
18-Jul-22,Jul,Bagerhat,22.66,89.788,1.95
25-Jul-22,Jul,Bagerhat,22.66,89.788,1.9
01-Aug-22,Aug,Bagerhat,22.66,89.788,0.85
08-Aug-22,Aug,Bagerhat,22.66,89.788,0.8
15-Aug-22,Aug,Bagerhat,22.66,89.788,1.2
22-Aug-22,Aug,Bagerhat,22.66,89.788,1.1
29-Aug-22,Aug,Bagerhat,22.66,89.788,1.05
05-Sep-22,Sep,Bagerhat,22.66,89.788,1
12-Sep-22,Sep,Bagerhat,22.66,89.788,0.8
19-Sep-22,Sep,Bagerhat,22.66,89.788,0.68
26-Sep-22,Sep,Bagerhat,22.66,89.788,0.7
03-Oct-22,Oct,Bagerhat,22.66,89.788,0.7
10-Oct-22,Oct,Bagerhat,22.66,89.788,0.9
17-Oct-22,Oct,Bagerhat,22.66,89.788,1
24-Oct-22,Oct,Bagerhat,22.66,89.788,0.9
31-Oct-22,Oct,Bagerhat,22.66,89.788,0.8
07-Nov-22,Nov,Bagerhat,22.66,89.788,1.05
14-Nov-22,Nov,Bagerhat,22.66,89.788,1.1
21-Nov-22,Nov,Bagerhat,22.66,89.788,1.2
28-Nov-22,Nov,Bagerhat,22.66,89.788,1.3
05-Dec-22,Dec,Bagerhat,22.66,89.788,1.38
12-Dec-22,Dec,Bagerhat,22.66,89.788,1.42
19-Dec-22,Dec,Bagerhat,22.66,89.788,1.32
26-Dec-22,Dec,Bagerhat,22.66,89.788,1.35
02-Jan-23,Jan,Bagerhat,22.66,89.788,1.45
09-Jan-23,Jan,Bagerhat,22.66,89.788,1.5
16-Jan-23,Jan,Bagerhat,22.66,89.788,1.5
23-Jan-23,Jan,Bagerhat,22.66,89.788,1.6
30-Jan-23,Jan,Bagerhat,22.66,89.788,1.6
06-Feb-23,Feb,Bagerhat,22.66,89.788,1.7
13-Feb-23,Feb,Bagerhat,22.66,89.788,1.75
20-Feb-23,Feb,Bagerhat,22.66,89.788,1.8
27-Feb-23,Feb,Bagerhat,22.66,89.788,1.9
06-Mar-23,Mar,Bagerhat,22.66,89.788,1.95
13-Mar-23,Mar,Bagerhat,22.66,89.788,1.75
20-Mar-23,Mar,Bagerhat,22.66,89.788,1.7
03-Apr-23,Apr,Bagerhat,22.66,89.788,1.6
10-Apr-23,Apr,Bagerhat,22.66,89.788,1.55
17-Apr-23,Apr,Bagerhat,22.66,89.788,1.52
24-Apr-23,Apr,Bagerhat,22.66,89.788,1.48
01-May-23,May,Bagerhat,22.66,89.788,1.45
08-May-23,May,Bagerhat,22.66,89.788,1.4
15-May-23,May,Bagerhat,22.66,89.788,1.38
22-May-23,May,Bagerhat,22.66,89.788,1.35
29-May-23,May,Bagerhat,22.66,89.788,1.28
05-Jun-23,Jun,Bagerhat,22.66,89.788,1.25
12-Jun-23,Jun,Bagerhat,22.66,89.788,1.1
19-Jun-23,Jun,Bagerhat,22.66,89.788,1.15
26-Jun-23,Jun,Bagerhat,22.66,89.788,1
03-Jul-23,Jul,Bagerhat,22.66,89.788,1
10-Jul-23,Jul,Bagerhat,22.66,89.788,0.9
17-Jul-23,Jul,Bagerhat,22.66,89.788,0.8
24-Jul-23,Jul,Bagerhat,22.66,89.788,0.9
07-Aug-23,Aug,Bagerhat,22.66,89.788,0.72
14-Aug-23,Aug,Bagerhat,22.66,89.788,0.7
21-Aug-23,Aug,Bagerhat,22.66,89.788,0.7
28-Aug-23,Aug,Bagerhat,22.66,89.788,0.8
04-Sep-23,Sep,Bagerhat,22.66,89.788,0.85
11-Sep-23,Sep,Bagerhat,22.66,89.788,0.9
18-Sep-23,Sep,Bagerhat,22.66,89.788,0.92
25-Sep-23,Sep,Bagerhat,22.66,89.788,0.95
02-Oct-23,Oct,Bagerhat,22.66,89.788,0.98
09-Oct-23,Oct,Bagerhat,22.66,89.788,1.02
16-Oct-23,Oct,Bagerhat,22.66,89.788,1.05
23-Oct-23,Oct,Bagerhat,22.66,89.788,1.01
30-Oct-23,Oct,Bagerhat,22.66,89.788,1.1
06-Nov-23,Nov,Bagerhat,22.66,89.788,1.2
13-Nov-23,Nov,Bagerhat,22.66,89.788,1.05
20-Nov-23,Nov,Bagerhat,22.66,89.788,1.02
27-Nov-23,Nov,Bagerhat,22.66,89.788,1.08
04-Dec-23,Dec,Bagerhat,22.66,89.788,1.12
11-Dec-23,Dec,Bagerhat,22.66,89.788,1.15
18-Dec-23,Dec,Bagerhat,22.66,89.788,1.2
25-Dec-23,Dec,Bagerhat,22.66,89.788,1.25
01-Jan-24,Jan,Bagerhat,22.66,89.788,1.22
08-Jan-24,Jan,Bagerhat,22.66,89.788,1.25
15-Jan-24,Jan,Bagerhat,22.66,89.788,1.3
22-Jan-24,Jan,Bagerhat,22.66,89.788,1.35
29-Jan-24,Jan,Bagerhat,22.66,89.788,1.4
05-Feb-24,Feb,Bagerhat,22.66,89.788,1.42
12-Feb-24,Feb,Bagerhat,22.66,89.788,1.44
19-Feb-24,Feb,Bagerhat,22.66,89.788,1.45
26-Feb-24,Feb,Bagerhat,22.66,89.788,1.47
04-Mar-24,Mar,Bagerhat,22.66,89.788,1.5
11-Mar-24,Mar,Bagerhat,22.66,89.788,1.6
18-Mar-24,Mar,Bagerhat,22.66,89.788,1.65
25-Mar-24,Mar,Bagerhat,22.66,89.788,1.67
01-Apr-24,Apr,Bagerhat,22.66,89.788,1.8
08-Apr-24,Apr,Bagerhat,22.66,89.788,1.9
15-Apr-24,Apr,Bagerhat,22.66,89.788,1.95
22-Apr-24,Apr,Bagerhat,22.66,89.788,2
29-Apr-24,Apr,Bagerhat,22.66,89.788,2.05
06-May-24,May,Bagerhat,22.66,89.788,1.6
13-May-24,May,Bagerhat,22.66,89.788,1.5
20-May-24,May,Bagerhat,22.66,89.788,1.45
27-May-24,May,Bagerhat,22.66,89.788,1.5
03-Jun-24,Jun,Bagerhat,22.66,89.788,1.2
10-Jun-24,Jun,Bagerhat,22.66,89.788,1.1
17-Jun-24,Jun,Bagerhat,22.66,89.788,1
24-Jun-24,Jun,Bagerhat,22.66,89.788,0.9
01-Jul-24,Jul,Bagerhat,22.66,89.788,0.85
08-Jul-24,Jul,Bagerhat,22.66,89.788,0.8
15-Jul-24,Jul,Bagerhat,22.66,89.788,0.7
22-Jul-24,Jul,Bagerhat,22.66,89.788,0.68
29-Jul-24,Jul,Bagerhat,22.66,89.788,0.65
05-Aug-24,Aug,Bagerhat,22.66,89.788,0.6
12-Aug-24,Aug,Bagerhat,22.66,89.788,0.55
19-Aug-24,Aug,Bagerhat,22.66,89.788,0.6
26-Aug-24,Aug,Bagerhat,22.66,89.788,0.65
02-Sep-24,Sep,Bagerhat,22.66,89.788,0.7
09-Sep-24,Sep,Bagerhat,22.66,89.788,0.75
16-Sep-24,Sep,Bagerhat,22.66,89.788,0.78
23-Sep-24,Sep,Bagerhat,22.66,89.788,0.8
30-Sep-24,Sep,Bagerhat,22.66,89.788,0.8
31-Oct-16,Oct,Bandarban,22.23,92.17,4.52
07-Nov-16,Nov,Bandarban,22.23,92.17,4.52
13-Mar-17,Mar,Bandarban,22.23,92.17,8.24
20-Mar-17,Mar,Bandarban,22.23,92.17,8.24
22-Jan-18,Jan,Bandarban,22.23,92.17,3.38
29-Jan-18,Jan,Bandarban,22.23,92.17,3.35
14-May-18,May,Bandarban,22.23,92.17,4.11
21-May-18,May,Bandarban,22.23,92.17,3.99
28-May-18,May,Bandarban,22.23,92.17,3.89
04-Jun-18,Jun,Bandarban,22.23,92.17,3.84
11-Jun-18,Jun,Bandarban,22.23,92.17,3.84
18-Jun-18,Jun,Bandarban,22.23,92.17,3.79
25-Jun-18,Jun,Bandarban,22.23,92.17,3.79
02-Jul-18,Jul,Bandarban,22.23,92.17,3.79
09-Jul-18,Jul,Bandarban,22.23,92.17,3.73
16-Jul-18,Jul,Bandarban,22.23,92.17,3.68
23-Jul-18,Jul,Bandarban,22.23,92.17,3.7
30-Jul-18,Jul,Bandarban,22.23,92.17,3.56
06-Aug-18,Aug,Bandarban,22.23,92.17,3.56
13-Aug-18,Aug,Bandarban,22.23,92.17,3.53
04-Jan-21,Jan,Bandarban,22.23,92.17,5.2
04-Jan-21,Jan,Bandarban,22.23,92.17,5.2
11-Jan-21,Jan,Bandarban,22.23,92.17,5.15
18-Jan-21,Jan,Bandarban,22.23,92.17,4.9
25-Jan-21,Jan,Bandarban,22.23,92.17,5.5
01-Feb-21,Feb,Bandarban,22.23,92.17,4.5
08-Feb-21,Feb,Bandarban,22.23,92.17,4.2
15-Feb-21,Feb,Bandarban,22.23,92.17,4.4
22-Feb-21,Feb,Bandarban,22.23,92.17,4.3
01-Jan-24,Jan,Bandarban,22.23,92.17,4.6
08-Jan-24,Jan,Bandarban,22.23,92.17,4.6
15-Jan-24,Jan,Bandarban,22.23,92.17,4.65
22-Jan-24,Jan,Bandarban,22.23,92.17,4.65
29-Jan-24,Jan,Bandarban,22.23,92.17,4.7
05-Feb-24,Feb,Bandarban,22.23,92.17,4.7
12-Feb-24,Feb,Bandarban,22.23,92.17,4.85
19-Feb-24,Feb,Bandarban,22.23,92.17,4.85
26-Feb-24,Feb,Bandarban,22.23,92.17,4.8
04-Mar-24,Mar,Bandarban,22.23,92.17,4.9
11-Mar-24,Mar,Bandarban,22.23,92.17,4.9
18-Mar-24,Mar,Bandarban,22.23,92.17,3.1
25-Mar-24,Mar,Bandarban,22.23,92.17,3.1
01-Apr-24,Apr,Bandarban,22.23,92.17,4.2
08-Apr-24,Apr,Bandarban,22.23,92.17,4.2
15-Apr-24,Apr,Bandarban,22.23,92.17,4.1
22-Apr-24,Apr,Bandarban,22.23,92.17,4.4
29-Apr-24,Apr,Bandarban,22.23,92.17,4.5
06-May-24,May,Bandarban,22.23,92.17,4.45
13-May-24,May,Bandarban,22.23,92.17,4.2
20-May-24,May,Bandarban,22.23,92.17,4.5
27-May-24,May,Bandarban,22.23,92.17,4.4
03-Jun-24,Jun,Bandarban,22.23,92.17,4.35
10-Jun-24,Jun,Bandarban,22.23,92.17,4.35
17-Jun-24,Jun,Bandarban,22.23,92.17,4.3
24-Jun-24,Jun,Bandarban,22.23,92.17,4.5
01-Jul-24,Jul,Bandarban,22.23,92.17,5.8
08-Jul-24,Jul,Bandarban,22.23,92.17,4.4
15-Jul-24,Jul,Bandarban,22.23,92.17,4.2
22-Jul-24,Jul,Bandarban,22.23,92.17,4.2
29-Jul-24,Jul,Bandarban,22.23,92.17,4.1
05-Aug-24,Aug,Bandarban,22.23,92.17,4.6
12-Aug-24,Aug,Bandarban,22.23,92.17,4.6
19-Aug-24,Aug,Bandarban,22.23,92.17,4.7
26-Aug-24,Aug,Bandarban,22.23,92.17,4.5
02-Sep-24,Sep,Bandarban,22.23,92.17,4.5
09-Sep-24,Sep,Bandarban,22.23,92.17,4.5
16-Sep-24,Sep,Bandarban,22.23,92.17,4.5
23-Sep-24,Sep,Bandarban,22.23,92.17,4.3
30-Sep-24,Sep,Bandarban,22.23,92.17,4.2
